receiver_upi_id,amount,amount_ratio,transaction_frequency,device_mismatch_flag,geo_location_flag,account_age,recipient_blacklist_status,past_fraud_flag,high_risk_time_flag,sender_trust_score,receiver_trust_score,merchant_category_encoded,transaction_type_encoded,fraud_reports,fraud_label
9910771199@axisbank,175,0.21,2,0,0,117,0,1,1,5,2,3,2,48,0.5
9760375482@icici,376,0.49,3,0,0,186,1,0,0,3,4,4,3,35,0.5
9072081155@okicici,32093,13.87,3,1,1,126,0,1,1,5,4,1,1,67,1.0
9504892673@waicici,3793,2.62,3,0,1,339,0,0,1,5,1,4,2,41,0.5
divya@waicici,267,0.11,1,1,1,44,1,1,0,5,3,3,1,83,1.0
vandana84@waicici,891,0.35,1,1,0,57,1,1,1,3,3,4,2,97,1.0
mukesh@icici,43166,25.71,3,0,1,294,0,1,1,4,5,1,0,44,1.0
9762282772@apl,2660,1.33,6,0,1,40,0,0,1,5,4,4,3,34,0.5
pallavi384@upi,57,0.02,9,0,0,81,0,1,1,3,1,4,3,32,0.5
9975679228@paytm,27849,14.58,5,0,0,157,0,0,1,2,2,3,0,21,0.5
rekha13@canara,8002,5.99,10,1,1,320,0,0,1,4,4,1,3,42,1.0
9971895690@upi,338,0.32,4,0,0,268,1,0,0,4,5,0,0,37,0.5
pallavi62@pnb,51,0.04,6,0,1,271,0,1,0,4,3,0,0,48,0.5
brijesh601@apl,74609,107.35,7,0,1,153,0,0,0,1,3,1,3,5,0.5
preeti668@mahb,2414,0.93,7,1,0,284,0,1,0,1,4,0,3,43,0.5
9200749465@bob,7738,2.82,6,1,1,73,0,0,0,5,2,1,3,25,0.0
9743553795@sbi,94702,33.81,2,1,0,203,0,0,0,2,5,2,3,8,0.0
sunita58@oksbi,276,0.85,3,0,0,345,1,1,0,4,5,3,3,71,1.0
9337504793@sbi,17550,6.36,8,1,0,99,0,0,0,1,2,0,2,15,0.5
9430894870@okhdfc,34,0.01,3,0,1,253,0,0,1,5,2,4,1,23,0.0
krishna@mahb,68214,28.66,9,0,1,349,0,1,1,4,4,2,0,46,1.0
9317350583@icici,4431,1.6,3,0,0,101,1,1,0,3,3,0,0,64,1.0
neha573@okicici,4120,2.09,1,1,0,32,0,1,0,4,3,0,1,26,0.0
9785931109@icici,408,0.14,10,1,0,338,1,1,0,1,4,3,3,83,1.0
lokesh@kotak,1545,0.54,8,0,0,318,0,1,1,2,2,1,0,50,0.5
9153779599@ybl,260,0.25,9,1,1,5,0,1,1,5,2,0,1,66,1.0
9362050150@waicici,2246,1.44,8,1,1,22,0,1,0,2,1,1,1,63,1.0
ritu23@axisbank,1926,1.21,6,0,0,300,0,1,1,1,1,1,1,45,0.5
manoj@waicici,39532,84.65,5,0,0,108,0,1,0,4,2,2,2,19,0.5
9973179128@okicici,405,0.3,1,1,1,126,1,1,1,5,5,1,2,84,1.0
9736346692@oksbi,3784,3.61,9,1,1,192,0,1,0,4,4,3,2,39,1.0
9546027341@oksbi,3255,1.74,6,1,0,266,0,0,0,2,5,0,3,11,0.0
vimla142@sbi,171,0.06,2,0,1,51,1,0,1,1,3,0,1,62,1.0
9775153663@paytm,117,0.04,1,1,1,297,1,1,1,4,5,1,3,100,1.0
amit@kotak,32899,13.7,5,1,0,66,0,1,0,1,4,2,2,31,0.5
9097023164@bob,169,0.27,9,1,1,33,1,1,0,4,2,3,0,97,1.0
9323467299@canara,1407,2.93,1,0,1,266,0,0,1,2,3,3,3,26,0.0
9475469263@pnb,3194,1.25,8,0,1,74,0,1,0,1,4,4,1,23,0.0
mahesh@axisbank,93690,86.03,7,1,1,49,0,1,0,1,2,1,2,51,1.0
asha95@paytm,196,0.81,1,1,1,260,0,1,0,4,1,0,3,46,0.5
9210427523@hdfc,88,0.12,8,1,1,125,0,0,0,2,4,2,1,29,0.0
manju29@bob,396,0.34,8,0,1,158,0,0,0,1,5,0,0,6,0.0
nisha109@pnb,63573,34.97,7,0,0,23,0,0,0,5,1,2,2,11,0.5
9189241956@kotak,23,0.01,4,0,1,235,0,1,0,1,3,4,2,39,0.5
mukesh41@icici,608,0.86,10,1,0,10,0,1,1,5,4,3,1,41,0.5
9640355338@hdfc,379,1.05,7,0,0,78,0,1,1,2,1,1,3,44,0.5
9338167423@ubi,27,0.01,1,0,0,323,0,1,1,1,4,0,1,39,0.5
9270661498@kotak,3594,1.58,4,1,0,230,0,0,1,3,4,0,2,31,0.5
umesh748@okicici,171,0.18,7,0,1,146,0,1,1,5,5,3,0,30,0.5
9587506633@upi,1830,1.47,10,1,1,329,0,1,1,1,4,0,0,66,1.0
9183626448@waicici,1456,0.82,3,0,1,234,0,0,0,3,2,4,1,18,0.0
aditi428@canara,5420,26.31,6,1,1,294,0,1,0,2,3,1,3,37,1.0
9467912141@okicici,231,0.24,4,1,0,69,0,0,1,4,2,4,0,41,0.5
rahul87@iob,48602,131.0,8,0,1,121,0,0,1,4,1,0,0,21,0.5
9620918435@paytm,28332,133.64,6,1,1,350,0,1,1,3,2,2,3,60,1.0
hemant@okicici,4469,8.38,1,1,1,165,1,0,0,3,1,2,3,69,1.0
aakash@okhdfc,1447,1.21,5,1,0,45,0,0,0,5,4,1,3,8,0.0
9668633414@icici,19667,7.39,5,0,0,113,0,1,1,4,1,1,3,30,0.5
9552899316@sbi,513,0.53,10,0,0,60,0,1,0,3,2,2,3,28,0.0
9973746052@bob,383,0.54,8,1,1,256,1,0,1,2,5,2,1,68,1.0
9438612590@canara,217,0.44,3,0,0,154,0,0,1,1,5,3,2,16,0.0
9015720185@mahb,186,0.1,3,1,0,150,0,0,1,2,2,1,0,37,0.5
karan669@sbi,335,0.16,7,1,0,124,0,1,0,4,3,4,1,44,0.5
radha129@icici,141,0.05,9,0,0,343,0,0,0,2,1,4,3,20,0.0
preeti@hdfc,386,0.15,9,0,1,275,0,0,1,4,1,4,0,40,0.5
pooja969@waicici,77725,26.85,2,0,0,18,0,0,0,1,5,2,2,0,0.0
9983954296@icici,340,0.24,10,1,0,181,0,1,1,5,5,1,0,36,0.5
9892625660@ubi,2706,1.57,5,1,1,43,0,1,0,4,2,4,1,54,0.5
9361128497@axisbank,399,0.66,2,0,1,209,0,0,0,3,1,2,2,20,0.0
pankaj@oksbi,1545,1.85,6,1,1,88,1,1,0,4,2,2,3,97,1.0
9111312901@canara,25000,17.23,8,0,1,182,0,1,0,5,3,2,3,37,1.0
9890972832@icici,559,0.35,9,1,0,264,0,1,0,1,4,0,1,29,0.0
karan@canara,426,0.3,3,1,0,195,0,1,0,3,1,2,1,36,0.5
suresh@okhdfc,3,0.0,8,0,1,316,0,1,0,3,3,2,0,37,0.5
9722560531@bob,16939,26.26,4,0,1,129,0,0,0,4,4,2,2,16,0.0
lata@axisbank,3949,1.32,1,1,0,170,0,0,1,2,2,3,2,38,0.5
9823414363@upi,4433,2.27,4,0,0,7,0,0,0,1,3,3,0,1,0.0
pallavi@ubi,219,0.54,7,0,0,68,0,0,0,1,3,1,1,6,0.0
ankit@canara,144,0.37,1,1,1,330,0,1,0,3,1,2,2,43,0.5
vinod85@oksbi,49758,67.88,6,1,1,252,0,0,1,3,3,0,0,34,1.0
hemant35@kotak,54907,20.08,3,0,1,55,0,0,1,5,1,0,1,28,0.5
brijesh@canara,4072,1.8,9,0,0,130,0,0,1,3,3,3,0,29,0.0
nisha@apl,288,0.3,9,0,0,273,0,0,1,1,2,3,3,6,0.0
ankit@waicici,2451,1.83,9,1,1,138,0,1,0,1,2,1,0,40,1.0
9240891649@waicici,46022,41.91,9,0,0,362,0,1,1,3,2,3,2,49,1.0
9239724042@pnb,1715,0.82,7,0,1,298,0,0,1,2,4,1,3,17,0.0
9023142900@axisbank,373,1.31,8,1,0,126,0,0,0,4,1,4,1,11,0.0
pooja106@axisbank,2497,0.9,8,1,0,289,0,0,0,2,3,2,3,21,0.0
naveen19@ybl,472,0.73,7,1,0,219,0,0,0,2,3,2,1,11,0.0
deepa73@oksbi,3983,1.44,7,0,1,92,0,0,0,5,3,4,1,13,0.0
manoj187@ybl,1051,0.78,6,1,0,76,0,0,0,2,4,3,3,6,0.0
lokesh63@mahb,4572,1.91,6,1,1,326,0,1,1,2,2,3,3,53,1.0
9633302126@sbi,31,0.04,6,0,0,9,0,0,1,5,4,1,0,19,0.0
geeta27@apl,188,0.07,8,1,1,38,0,0,0,5,2,0,1,29,0.5
mukesh68@iob,452,0.53,1,1,1,331,0,1,1,3,1,1,0,48,1.0
9775662056@bob,317,0.13,9,1,0,48,0,1,0,4,2,1,3,45,0.5
9034199097@hdfc,44132,30.1,1,1,0,172,0,0,0,2,3,1,0,10,0.0
umesh@sbi,3700,6.19,5,0,1,183,0,0,1,4,5,1,2,20,0.5
vandana459@canara,1653,0.61,8,1,1,350,0,0,1,1,1,1,1,48,1.0
sunil@icici,622,1.12,10,1,1,313,0,0,1,1,2,4,3,41,1.0
shakti@paytm,1650,0.98,8,1,1,364,0,1,0,3,4,2,3,41,0.5
ganesh@okicici,380,0.6,8,1,1,260,0,1,0,3,1,4,0,47,1.0
vimla37@upi,3751,8.08,8,1,0,274,0,1,1,1,1,1,0,48,1.0
amit976@iob,9089,4.25,3,0,1,241,0,1,0,2,3,4,0,30,0.5
9423567782@okhdfc,343,0.18,2,1,0,208,0,0,0,3,4,3,1,12,0.0
9648072791@hdfc,1732,1.16,10,1,1,342,0,0,0,5,2,2,2,19,0.5
9766558685@axisbank,6061,2.69,6,0,0,111,0,1,0,2,2,4,0,19,0.0
9110961798@axisbank,4083,6.74,3,0,1,305,0,1,1,5,4,3,2,34,1.0
9605384444@okhdfc,1519,0.53,9,1,0,233,0,1,1,4,1,1,3,60,1.0
9096262658@pnb,86420,87.38,6,0,0,79,0,1,0,5,5,2,2,29,0.0
9920981960@kotak,486,0.24,10,1,0,324,0,0,0,4,3,4,1,4,0.0
lokesh@paytm,395,0.5,5,1,1,114,0,0,0,2,5,1,3,30,0.0
shruti430@paytm,1324,0.6,2,0,0,93,0,0,1,1,4,2,1,22,0.0
9139080882@bob,4464,5.26,10,0,0,338,1,1,0,5,1,0,2,74,1.0
9768634234@okicici,1253,0.89,2,1,0,113,0,0,0,2,3,2,3,18,0.0
9517208496@canara,3111,1.59,7,0,1,250,1,0,0,4,4,4,2,48,0.5
priya@paytm,29377,41.97,7,1,1,166,0,0,0,2,3,1,0,14,0.5
9330770461@axisbank,1112,0.56,9,1,0,109,0,0,1,2,1,4,2,28,0.5
amit@okhdfc,31398,13.3,5,1,0,11,0,1,1,1,5,0,3,31,1.0
9103002156@ubi,92014,132.01,6,1,1,285,0,1,1,4,5,0,3,51,1.0
9422971252@mahb,25,0.01,1,0,0,276,0,0,1,1,3,0,0,29,0.0
9311703037@okicici,48,0.02,8,1,1,339,0,0,0,3,3,3,1,21,0.0
kamla89@bob,56924,51.94,9,0,1,303,0,0,1,5,3,2,3,25,0.5
hemant678@oksbi,449,0.22,5,1,0,352,0,0,1,5,1,1,3,23,0.0
9634362948@upi,28,0.01,7,1,0,78,0,0,1,5,4,4,2,24,0.0
9661347323@oksbi,123,0.04,2,1,0,113,1,0,0,1,1,4,2,70,1.0
9765024120@oksbi,162,0.08,10,1,1,359,0,0,0,4,3,1,1,18,0.0
ashok42@upi,387,0.25,1,1,0,24,0,1,0,5,3,1,1,38,0.5
9257039653@icici,139,0.07,6,1,1,155,1,1,0,5,5,3,0,77,1.0
lokesh533@axisbank,3357,2.52,9,0,1,348,1,0,1,4,5,1,2,59,1.0
nisha@hdfc,320,0.23,8,1,1,5,0,1,1,2,4,1,2,42,1.0
ritu@canara,403,0.73,1,1,1,1,0,0,1,3,2,2,2,48,0.5
9923426834@canara,472,0.24,7,0,0,348,0,1,1,4,4,0,2,43,0.5
preeti@kotak,3429,1.78,2,0,1,224,0,1,0,2,5,3,2,33,0.5
simran52@axisbank,548,1.3,5,1,0,290,0,1,0,1,4,1,3,24,0.0
pallavi737@bob,13939,4.94,9,1,1,300,0,1,0,1,2,4,1,40,1.0
geeta40@iob,243,0.35,9,0,0,62,0,0,0,1,2,1,0,5,0.0
anita59@axisbank,4435,1.7,3,1,0,95,0,1,0,2,2,4,1,41,0.5
priya55@apl,73247,34.62,2,1,1,235,0,1,0,5,4,0,2,55,1.0
hemant@mahb,54470,19.17,6,0,1,78,0,1,0,5,3,3,1,39,0.5
9312661094@axisbank,1370,1.19,2,1,0,207,0,1,1,1,1,1,1,62,1.0
vikas@icici,2136,0.72,3,0,0,16,0,1,1,3,1,3,3,37,0.5
ajay70@oksbi,97839,34.57,6,0,0,3,0,0,0,4,5,4,0,6,0.0
shweta945@oksbi,52,0.02,2,1,0,193,0,0,1,5,1,1,2,28,0.0
9400564350@kotak,40778,15.76,9,0,0,124,0,1,0,5,5,2,3,25,0.5
ravi@oksbi,81376,62.21,10,0,1,289,0,0,0,1,3,0,3,27,0.5
aditi@axisbank,350,0.2,1,1,1,29,0,1,0,2,5,4,3,52,0.5
neha@paytm,117,0.45,1,1,0,224,0,1,1,2,2,0,0,59,0.5
savita920@canara,246,0.1,4,0,1,336,0,0,1,3,2,4,3,22,0.0
mahesh216@kotak,362,0.48,9,1,1,278,0,0,1,1,1,2,3,44,1.0
pankaj@ubi,8913,5.03,8,0,0,11,1,1,1,1,3,2,3,79,1.0
9966018648@paytm,3254,10.43,5,0,1,339,0,0,1,1,5,2,0,20,0.5
girish42@sbi,4946,13.82,3,1,1,122,0,0,1,1,3,2,0,43,1.0
suresh88@ybl,36470,33.4,8,0,1,228,1,1,1,1,4,0,3,85,1.0
lalit@waicici,906,0.95,5,0,1,142,0,0,1,4,2,1,1,37,0.5
radha381@icici,56,0.11,9,0,0,181,0,1,1,1,5,1,2,27,0.0
vimla50@apl,319,0.39,6,1,1,185,0,0,0,4,3,3,2,32,0.5
sunil34@canara,1493,0.51,7,1,0,77,0,1,0,1,1,1,3,44,0.5
komal@mahb,41,0.02,2,0,1,162,0,0,1,2,4,3,2,32,0.5
9021648712@hdfc,4637,4.59,6,0,0,147,0,1,0,3,1,0,3,23,0.5
9101576764@upi,357,0.23,7,1,0,272,0,0,0,4,3,1,3,22,0.0
vandana82@apl,1947,3.27,10,0,0,304,1,0,0,3,4,3,2,39,1.0
lalit230@iob,295,0.43,3,1,1,92,0,1,1,1,2,3,2,55,1.0
radha66@kotak,492,1.61,9,0,0,283,0,1,0,2,1,4,0,29,0.0
vikas520@paytm,1454,1.31,8,1,1,222,0,0,0,3,1,1,2,41,0.5
hemant@upi,565,0.51,9,0,1,362,0,0,1,3,2,4,0,37,0.5
9357824347@upi,1959,0.72,1,1,0,110,1,0,0,4,1,3,1,60,0.5
aditi408@upi,3980,2.64,5,1,1,58,0,1,1,4,4,2,1,63,1.0
ankit72@ubi,31950,16.46,7,1,0,111,0,0,1,1,5,2,2,22,0.5
9558108358@bob,67,0.04,3,1,0,294,0,1,1,5,2,0,2,38,0.5
satish44@canara,7364,3.13,6,0,1,192,0,0,1,4,2,4,1,19,0.5
santosh@mahb,1105,0.58,7,0,0,64,0,0,0,4,2,2,0,0,0.0
9748836076@oksbi,4361,3.93,5,1,0,12,0,1,1,3,4,1,0,45,1.0
9379312697@apl,26786,49.42,8,0,1,119,0,0,0,3,4,4,0,5,0.5
laxmi@ybl,447,0.18,3,0,0,173,0,1,1,1,3,4,3,49,0.5
pushpa27@waicici,86,0.04,7,1,1,40,0,0,0,2,1,1,0,33,0.5
9589477352@pnb,1859,1.79,5,1,1,151,0,0,1,5,3,4,2,49,0.5
vikas54@waicici,356,0.79,2,1,0,241,0,1,1,1,3,1,1,53,0.5
9134249128@mahb,2586,2.51,10,0,1,219,0,0,0,3,3,4,3,6,0.0
lalit436@ybl,74,0.18,4,1,1,2,0,1,1,2,1,4,1,52,1.0
9687741865@pnb,64018,22.9,8,1,0,198,0,0,1,3,3,4,2,22,0.5
9515480940@iob,92,0.09,10,0,1,110,0,1,1,5,2,3,2,36,1.0
heena88@kotak,36027,14.8,10,1,1,30,0,0,1,1,4,4,3,47,1.0
9529580660@icici,4957,18.5,1,0,0,62,1,0,1,4,1,2,0,58,1.0
aditi89@icici,526,0.77,5,0,0,23,0,1,0,5,2,4,3,26,0.0
9240642429@ybl,21169,7.48,1,0,0,303,0,0,0,2,1,1,2,4,0.0
karan@mahb,251,0.09,5,1,0,91,1,0,1,3,4,2,0,68,1.0
9827279559@okicici,47,0.04,5,1,0,350,0,0,1,2,3,4,2,15,0.0
amit450@mahb,332,0.16,3,0,1,5,1,0,1,4,4,2,2,69,1.0
sneha@canara,2419,1.86,10,1,1,192,0,1,0,3,4,3,2,50,0.5
suresh@okhdfc,1854,1.82,2,0,0,28,0,0,1,3,2,2,3,11,0.0
arun397@kotak,358,0.17,6,0,0,82,0,0,1,1,4,4,3,24,0.0
9613273034@okhdfc,114,0.05,2,1,1,274,0,1,1,3,4,4,0,42,0.5
suresh97@axisbank,491,0.21,5,0,1,146,0,1,0,4,4,0,2,25,0.0
9785758512@okhdfc,217,0.08,7,1,0,260,0,0,1,4,1,3,3,21,0.5
brijesh703@okhdfc,223,0.1,10,1,0,363,0,0,0,3,2,4,3,20,0.0
9321812276@iob,326,0.93,7,1,1,183,0,0,1,1,4,2,2,39,0.5
geeta42@icici,72136,50.23,6,1,1,168,0,0,1,1,2,4,0,39,1.0
9248096244@sbi,99854,75.36,9,1,0,316,1,0,1,5,2,0,2,79,1.0
vimla68@okhdfc,114,0.25,5,1,0,141,0,0,1,4,5,2,0,29,0.0
9917851385@canara,108,0.06,6,1,1,164,0,1,0,4,2,3,3,37,0.5
9269116331@mahb,691,0.6,10,1,1,320,0,1,1,2,5,2,3,52,1.0
9888636774@paytm,3475,1.24,4,1,0,181,0,0,1,4,5,2,2,34,0.5
shakti20@mahb,3926,1.44,8,0,0,172,0,1,1,2,1,3,3,35,0.5
ritu331@icici,4688,3.97,8,1,0,321,0,1,0,1,3,0,3,29,0.5
9687616481@waicici,3213,6.61,8,0,0,309,0,1,1,2,2,3,0,26,0.5
9256523734@axisbank,11791,4.58,1,0,1,204,0,1,0,3,4,4,3,46,0.5
sneha57@oksbi,2612,3.38,6,1,0,134,0,1,1,3,4,2,3,36,1.0
lokesh13@apl,440,0.41,5,1,1,226,0,0,1,2,2,1,2,44,0.5
pankaj@ybl,47492,21.85,9,1,1,301,0,0,1,3,5,2,3,25,0.5
karan52@icici,599,0.35,2,0,1,312,0,0,0,2,3,3,3,25,0.0
sachin@apl,52636,40.87,4,1,0,127,0,0,1,3,2,1,1,33,1.0
santosh37@upi,164,0.3,8,1,0,298,0,0,0,4,1,4,0,23,0.0
sarita291@iob,3835,4.15,4,1,0,227,0,1,0,5,5,3,0,30,0.5
lalit91@waicici,16717,5.66,3,0,1,58,0,1,1,4,1,2,3,47,1.0
krishna@pnb,2958,3.55,5,0,0,257,0,0,0,3,5,3,0,0,0.0
9060652740@bob,171,0.07,8,1,1,135,0,1,1,3,3,1,2,56,1.0
vikas71@mahb,2261,1.71,7,0,1,219,0,1,1,3,5,4,1,33,0.5
kavita@kotak,328,0.24,10,1,0,311,0,1,1,4,1,0,0,41,1.0
9732573755@bob,14205,9.57,9,1,0,294,0,0,1,3,5,4,2,21,0.5
9587495119@icici,4696,14.19,7,1,1,211,0,0,0,4,4,0,0,28,0.5
pushpa98@okhdfc,456,0.16,2,0,0,98,0,0,1,4,3,3,3,22,0.0
tanvi206@mahb,2620,1.7,1,0,1,200,0,1,0,1,2,2,3,43,0.5
rakesh168@ubi,9539,8.35,1,0,0,52,0,0,0,5,5,0,1,11,0.0
sunita32@mahb,195,0.19,2,0,1,226,1,0,0,4,1,3,1,72,1.0
pankaj823@axisbank,47,0.07,6,0,0,310,1,0,0,3,4,1,1,46,0.5
9282270093@canara,9,0.01,5,1,1,334,0,1,0,2,1,3,3,43,0.5
9005070260@waicici,4575,2.65,3,1,1,266,0,0,1,2,3,0,1,32,0.5
9477425859@axisbank,238,0.09,2,1,0,115,0,0,0,4,1,0,3,33,0.5
sudha85@apl,145,0.05,3,1,1,67,0,0,0,2,1,0,3,27,0.0
priya586@oksbi,94,0.08,10,1,0,75,0,1,1,1,4,0,1,37,0.5
aakash99@apl,21730,9.9,9,0,1,135,0,1,0,4,1,2,2,52,1.0
9182683230@bob,62,0.03,3,1,0,279,0,1,1,1,2,3,0,53,0.5
9896340646@apl,46609,41.39,9,1,0,356,0,0,1,2,3,1,0,38,1.0
9362669335@icici,1047,1.33,1,1,1,154,0,1,1,1,3,4,2,59,0.5
karan@paytm,390,0.26,3,0,1,300,0,0,1,2,4,1,2,28,0.0
yogesh21@oksbi,321,0.15,5,1,0,175,0,1,0,1,4,2,0,46,0.5
9396417899@okicici,215,0.1,5,0,1,54,0,1,1,3,3,4,2,41,0.5
9806603920@ybl,3725,1.86,4,1,0,61,0,0,0,3,5,4,3,14,0.0
9238856527@icici,891,0.32,6,0,1,130,0,1,0,3,3,1,2,32,0.5
lalit@pnb,328,0.15,2,1,1,52,1,0,1,4,3,4,3,75,1.0
usha53@oksbi,204,0.08,9,1,0,260,0,0,0,3,5,4,1,21,0.0
nikhil@paytm,227,0.17,10,1,0,151,1,1,0,5,1,2,1,68,1.0
9546553585@icici,212,0.08,10,0,0,11,0,0,1,4,4,3,1,14,0.0
ankit472@upi,47268,42.32,8,0,1,260,0,0,0,5,3,0,1,18,0.5
brijesh65@kotak,350,0.28,1,1,0,287,0,0,0,3,4,1,0,25,0.0
savita@icici,74,0.33,5,1,0,346,0,1,1,3,2,4,3,55,0.5
aditi486@pnb,1271,0.71,3,1,0,92,1,0,0,1,4,0,2,67,1.0
9840908051@pnb,2356,1.48,8,0,1,130,0,1,0,1,2,2,3,40,0.5
9295927282@paytm,97,0.06,10,0,0,15,0,0,1,5,3,0,1,7,0.0
9867181535@kotak,1316,0.49,6,0,0,56,1,0,1,2,5,4,1,50,0.5
santosh659@ybl,3125,1.31,8,0,1,31,0,0,1,5,1,4,0,34,0.5
naveen97@hdfc,4524,1.68,7,0,1,219,1,0,1,4,4,0,3,64,1.0
9688285031@paytm,25,0.01,9,0,0,293,1,0,1,2,3,0,0,45,0.5
9526356022@ubi,473,0.34,4,0,0,254,0,1,0,5,5,0,0,10,0.0
9072311127@icici,194,0.8,5,1,1,335,1,1,0,4,1,3,3,98,1.0
9732807711@ubi,439,0.43,7,0,1,356,1,0,1,3,5,2,2,52,1.0
9335090254@pnb,33968,11.65,4,0,1,35,0,0,0,4,5,2,3,16,0.0
seema617@waicici,2092,6.9,5,1,1,79,0,0,0,5,1,1,1,32,1.0
pankaj@okicici,371,0.59,7,0,0,34,0,1,0,5,5,0,1,31,0.5
sonia466@ubi,2446,1.52,10,0,0,244,0,0,0,4,3,4,3,14,0.0
karan362@okhdfc,31894,28.25,6,0,1,83,1,0,1,1,4,2,1,64,1.0
aakash803@paytm,371,0.38,6,1,1,238,1,1,1,3,3,3,1,100,1.0
yogesh443@sbi,2133,2.54,2,1,1,241,0,1,0,5,4,2,3,53,0.5
9599801110@sbi,78,0.11,10,0,1,349,1,0,1,2,4,4,1,76,1.0
preeti@okhdfc,3084,3.36,4,0,1,183,1,0,1,2,2,2,0,65,1.0
9957992707@mahb,822,0.38,4,0,1,144,0,0,1,1,2,3,0,21,0.0
9709962543@apl,479,0.89,10,1,1,70,0,0,1,3,4,1,0,33,0.5
9580290904@okicici,99151,34.32,4,1,0,27,1,1,1,3,3,3,3,88,1.0
girish67@icici,3302,1.34,5,0,1,345,0,1,1,4,3,2,3,40,0.5
9912975191@hdfc,79,0.31,4,1,0,55,0,0,0,1,2,2,0,29,0.0
9792749072@apl,1150,1.16,1,0,0,47,0,0,0,4,2,1,0,11,0.0
9843645380@iob,96,0.04,10,0,0,278,0,0,0,2,1,0,1,7,0.0
9194575757@canara,25866,15.4,1,1,0,177,0,0,0,5,4,0,3,24,0.0
9602562650@okhdfc,3803,4.87,6,1,1,22,0,0,0,4,4,3,2,35,0.5
satish622@okhdfc,12,0.0,8,0,0,201,0,0,0,2,3,2,1,2,0.0
9549691928@canara,4749,18.77,6,0,1,35,1,0,1,4,5,2,1,59,1.0
9748595325@mahb,127,0.09,2,1,1,243,0,0,1,1,4,2,3,42,0.5
kamla399@kotak,3134,1.17,6,0,0,10,0,0,1,5,1,3,1,31,0.5
mohit86@axisbank,81765,30.54,6,1,0,2,0,1,0,3,5,3,1,37,0.5
rohit458@waicici,2925,1.52,7,1,0,193,0,0,1,1,3,2,1,16,0.0
rohit58@sbi,84,0.05,5,0,1,234,1,1,0,2,5,3,2,77,1.0
vijay@apl,4691,6.34,5,1,1,18,0,1,0,3,5,4,0,45,1.0
meera834@pnb,4965,2.73,2,0,0,174,1,0,1,4,3,0,3,66,1.0
mamta91@okicici,22,0.03,9,0,1,350,0,0,0,1,1,1,3,12,0.0
9958263280@canara,794,3.47,7,0,1,357,0,1,0,5,1,0,1,39,1.0
9863210613@bob,1476,0.73,5,1,1,312,1,1,0,3,2,2,2,95,1.0
9657692778@canara,19183,18.36,4,1,0,332,0,1,1,5,3,1,0,49,1.0
9651460401@canara,228,0.13,1,0,0,318,1,0,0,1,3,0,2,40,0.5
ganesh18@kotak,2423,1.84,1,0,1,326,0,1,0,4,2,0,0,34,0.5
rani@iob,54129,40.1,7,0,0,255,0,1,1,4,4,1,0,44,1.0
9825588255@okhdfc,367,0.22,10,0,0,23,1,1,0,4,5,3,1,64,1.0
9778205829@ybl,493,0.65,3,0,1,150,1,1,1,4,5,3,2,80,1.0
sanjay501@oksbi,533,0.61,2,0,0,215,0,0,1,5,5,0,0,23,0.0
9364381300@sbi,504,1.02,2,1,1,353,0,0,1,2,4,1,1,44,0.5
heena214@mahb,217,0.08,2,1,0,349,1,0,0,1,3,3,0,53,0.5
9174811317@okicici,82132,46.77,1,1,0,180,0,1,0,3,4,3,0,23,0.5
geeta45@mahb,43890,19.31,8,1,0,283,0,1,0,2,5,3,0,34,1.0
seema59@pnb,3214,6.25,3,1,0,252,0,1,0,4,3,1,0,30,0.5
laxmi376@sbi,1847,0.69,10,1,0,350,0,1,0,4,2,3,0,44,0.5
vikas@bob,3429,2.87,9,1,0,224,0,1,1,4,1,0,0,42,1.0
sarita@apl,119,0.07,3,1,1,337,0,1,1,5,4,0,0,42,0.5
kavita@apl,246,0.09,8,1,0,125,0,1,0,2,2,3,3,46,0.5
9567932798@okhdfc,7812,24.96,7,0,0,127,0,1,0,3,2,2,3,22,0.5
vandana78@ybl,361,0.2,10,0,0,222,0,1,1,1,4,0,0,30,0.0
karan42@iob,3261,2.04,10,1,1,353,0,1,1,5,5,4,1,57,1.0
aakash@canara,3244,2.53,4,1,1,166,1,0,1,5,2,2,2,85,1.0
girish955@waicici,16998,9.8,9,0,1,298,0,1,0,2,1,2,1,35,1.0
9896340679@axisbank,79803,32.51,9,1,0,193,0,1,0,4,1,0,1,46,1.0
9309001594@canara,143,0.24,2,1,1,93,0,1,1,3,1,0,0,71,1.0
amit@mahb,19409,10.97,5,1,0,293,0,0,0,5,3,1,1,10,0.0
lokesh882@paytm,457,0.39,4,1,1,209,0,0,0,2,4,4,1,33,0.5
9855078967@bob,22807,10.31,8,0,0,228,0,0,0,2,4,4,3,5,0.0
9931706955@okicici,141,0.07,4,1,0,207,0,0,1,2,3,2,3,14,0.0
pushpa@okicici,188,0.07,7,0,1,46,1,1,1,3,3,1,2,94,1.0
geeta235@pnb,41,0.05,2,1,0,82,0,0,0,5,5,0,2,13,0.0
nitin547@waicici,640,1.35,5,0,0,91,0,0,0,5,4,3,1,16,0.0
manoj248@mahb,257,0.65,6,1,0,5,0,0,0,2,3,4,0,19,0.0
9886878599@okicici,1613,0.73,4,1,1,57,0,0,1,2,5,0,0,41,0.5
amit65@kotak,60,0.2,4,1,1,19,0,0,1,1,5,2,2,30,0.0
